DirectorName
James McTeigue
Trey Parker
Howard Deutch
Anthony Waller
Fred E. Wright
Ahmad Samir Farag
Abhay Chopra
Vikram Chopra
Duke Johnson
Charlie Kaufman
Clint Eastwood
Frank Oz
Mark Rydell
Michael Mann
Nancy Meyers
Atom Egoyan
Sam Miller
Frazer Lee
Stiles White
Steven Soderbergh
David E. Talbert
Don McBrearty
David Chase
John Glen
Rod Daniel
Perry Blackshear
James Benning
Joseph L. Mankiewicz
Rouben Mamoulian
Caroline Thompson
Les Mayfield
Stanley Kubrick
Steve Rash
John Ford
Henry Hathaway
George Marshall
Christopher Smith
Robert Zemeckis
Timur Bekmambetov
J.J. Abrams
Steven Spielberg
Greg McLean
Stuart Orme
Aldo Lado
Enzo G. Castellari
Kevin Smith
Nelson McCormick
Vincent Monton
Fred Wolf
Robert Resnikoff
Zach Braff
Matthew Dressel
Michael Harthen
Jil Szewski
Bappaditya Bandopadhyay
Joss Whedon
Roger Christian
Kevin Heffernan
Kenneth Branagh
Ariel Vromen
Justin Benson
Aaron Moorhead
John Carpenter
Alfred Hitchcock
Chuck Russell
Richard Thorpe
Brian Robbins
Woody Allen
Jon Avnet
Kevin Costner
Andrew V. McLaglen
Robert Rodriguez
Tom Mankiewicz
Gil Kenan
John Farrow
Adam Kassen
Mark Kassen
Abel Ferrara
Larry Clark
Ethan Coen
Joel Coen
Sanjay Gupta
John Huston
John Hijiri
Park Chan-wook
Roger Young
Jean-Marc Vallée
Barry Levinson
Tyler Perry
James Keach
Hark Tsui
Roland Joffé
Srdjan Spasojevic
Gary Winick
Oliver Parker
Sylvester Stallone
John D. Hancock
Rory Kennedy
Hal Ashby
Peter Cornwell
Tyro Heath
Sam Peckinpah
Richard Donner
Ivan Reitman
Manuel Martín Cuenca
Chris Buck
Jennifer Lee
Ben Wheatley
Rosemary Rodriguez
Yoshiaki Kawajiri
Andrew Jay Cohen
Peter Medak
James DeMonaco
Joe Johnston
Luigi Cozzi
Leslie Small
Tim Story
Jeffrey Blitz
Stewart Raffill
Gregory Hoblit
James L. Brooks
Ken Burns
Sarah Burns
David McMahon
Peter Berg
Antoine Fuqua
Lana Wachowski
Lilly Wachowski
Bob Giraldi
Mark Steven Johnson
Ciro Ippolito
Biagio Proietti
Sylvain Chomet
Andy Muschietti
Vinayan
Guddu Dhanoa
Tom Shadyac
Jon Garcia
Michael Tiddes
Sara Sugarman
Tobe Hooper
Ridley Scott
Robert Markowitz
Alex Garland
B. Unnikrishnan
Chris Columbus
Jay Roach
Ron Howard
Michael Paxton
Mohan Raja
Hugh Wilson
Stephen Sommers
Doron Paz
Yoav Paz
Joe Dante
Irwin Winkler
Nimród Antal
Mike Binder
Kirk Jones
Andy Fickman
Michael Bay
Kevin Lima
Ken Wiederhorn
Ronny Yu
Majid Majidi
Ari Sandel
Jules Bass
Arthur Rankin Jr.
Jack Arnold
Mike Gabriel
Eric Goldberg
Garth Jennings
Christophe Lourdelet
Dagoberto Brasile
McG
M.J. Bassett
Fred Niblo
Mauritz Stiller
Robert Schwentke
William Friedkin
Patricia Riggen
Julia Ducournau
Daniel Cohen
David Pastor
Àlex Pastor
Donald Petrie
Peter Ho-Sun Chan
Wai-Man Yip
Peter Faiman
Ron Shelton
Akira Kurosawa
Walter Hill
Jaume Collet-Serra
Oren Peli
Jeff Hare
Mark Neveldine
Brian Taylor
David Mickey Evans
Mike Barth
Jamie Gallant
Jerry Zucker
Andrew Adamson
Alexandre Promio
Elizabeth Banks
Peter Lord
Nick Park
Tom Hanks
Cheryl Dunye
Fred Wilder
Howard Hawks
Tim Burton
David Lynch
George Seaton
Trevor Frost
Melissa Lesh
Barry Sonnenfeld
Anthony Hickox
Anthony Minghella
Francis Lawrence
Pat O'Connor
Nora Ephron
Quentin Tarantino
Stanley Donen
Rich Moore
Brian De Palma
Jack Zander
Lars Calonius
Randal Kleiser
Chia-Liang Liu
Jackie Chan
Clenet Verdi-Rose
Jordan Downey
Jonathan Demme
David Kaplan
Sean Anders
Josh Stolberg
Joseph Sargent
Lars von Trier
Robert Wise
Andrew Erwin
Jon Erwin
Peter Jackson
Carter Smith
David Yates
Michael Ritchie
Mark Mylod
Olle Hellbom
Denis Villeneuve
Joel Schumacher
Alexandre Aja
Gary Trousdale
Kirk Wise
George A. Romero
Patty Jenkins
Brian Fee
Mel Brooks
Simon Wells
Jan de Bont
F. Gary Gray
Ian Merrick
Bong Joon Ho
John G. Avildsen
Christopher Nolan
